03/01/2099,Add,123123123,176456,Taylor,Justin,Jeffries,320-22-3145
01/01/2000,Drop,324543210,441234,Chad,Wilson,Smith,344-11-5413
12/31/2099,error,300778890,908765,Alex,Arturo,Coleson,432-33-3434
01/02/2003,Drop,543098432,784332,Alexandra,Marie,Samson,655-32-0999
11/11/2011,Drop,321543654,301001,Kyle,Robert,Walker,765-12-5656
11/11/2017,Add,1,111111,Thomas,Edward,Brady,123-45-6789
11/11/2017,Add,2,222222,Kennedy,S,Nou,213-53-8976
01/01/2016,Add,P123,123456,Austin,Bradley,Mork,123456789
02/01/2016,Drop,P124,111111,John,Wayne,Doe,987654321
03/01/2016,Add,P125,222222,Alice,Ann,Girl,456789123
04/03/2017,Add,P126,333333,Bob,Chris,Guy,321789654
04/03/2017,error,P127,444444,Amber,Blah,Guy,693582471
11/11/2017,error,3,333333,Luke,,Skywalker,978-65-4321
11/11/2017,Drop,4,444444,Peter,,Parker,798-56-2143
11/11/2017,Drop,5,555555,Bartholomey,Henry,Allen,456-12-9783
11/11/2017,Drop,5,555555,Bartholomey,Henry,Allen,456-12-9783
